Retail sales of electricity United States monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g&freq=M&start=200101&end=202212&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
13:52:59 GMT+0100 (Central European Standard Time)
Data source: U.S. Energy Information Administration
Month,all sectors million kilowatthours,residential million kilowatthours,commercial million kilowatthours,industrial million kilowatthours
Jul 2001,332192.65242,129205.36178,105621.93345,86797.43767
Jul 2001,,,,
Jul 2001,,,,
Jun 2001,315798.05444,120707.42753,102156.27207,83175.56383
May 2001,290008.13859,99407.29496,95658.29115,85268.86123
May 2001,,,,
May 2001,,,,
Apr 2001,264490.49166,81731.15295,87470.74429,86096.5808
Mar 2001,254390.93545,82453.7826,81060.53414,82253.07658
Mar 2001,,,,
Mar 2001,,,,
Feb 2001,269298.40142,92804.58576,84064.24963,83521.51752
Jan 2001,272334.73804,99877.67304,81466.85778,82248.23193
Dec 2000,310816.0688,127065.78354,90825.27235,83477.36044
